,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
483,1192244.0,PGE,2020-04-03 17:43:00,46,ALPINE,,0.43948318155509014,0.6637269194722042,-13361509.27429062,4646662.51871905,-120.02847999999999,38.47440999999999,2020-04-03,17:43:00
0,1192890.0,PGE,2020-04-05 00:36:19,1,MARIN,,0.18136107291499926,0.5951166468902791,-13640344.56121943,4563085.689259517,-122.53330000000001,37.884240000000005,2020-04-05,00:36:19
92,1193323.0,PGE,2020-04-05 21:20:03,1,SANTA CRUZ,,0.2513032793714327,0.4867177012853374,-13564789.796428217,4431040.736667329,-121.85457999999997,36.94210999999999,2020-04-05,21:20:03
93,1193324.0,PGE,2020-04-05 21:23:33,1,CALAVERAS,,0.3789144179016901,0.6372269526898711,-13426938.418199278,4614381.883165449,-120.61624000000002,38.247029999999995,2020-04-05,21:23:33
94,1193325.0,SCE,2020-04-05 19:18:01,824,LOS ANGELES,,0.6321722679536528,0.1644897271583754,-13153357.725486604,4038522.365478194,-118.15862282296202,34.0723601187089,2020-04-05,19:18:01
95,1193023.0,PGE,2020-04-05 11:38:22,14,SANTA CLARA,,0.25442776030578074,0.5310226431184604,-13561414.589467363,4485010.301696822,-121.82425999999998,37.32860999999999,2020-04-05,11:38:22
96,1193041.0,PGE,2020-04-05 11:07:41,5,NEVADA,,0.36152779444381977,0.7674408269945596,-13445720.242685914,4773000.445029245,-120.78495999999996,39.35742999999999,2020-04-05,11:07:41
97,1193081.0,PGE,2020-04-05 14:40:00,28,SANTA CLARA,,0.2542226904819209,0.5308674959286597,-13561636.115254045,4484821.310897994,-121.82624999999999,37.327259999999995,2020-04-05,14:40:00
98,1193182.0,PGE,2020-04-05 17:25:00,1,NEVADA,,0.34847855233576475,0.7565013373496252,-13459816.62980507,4759674.629141583,-120.91158999999999,39.26481000000001,2020-04-05,17:25:00
99,1193207.0,PGE,2020-04-05 17:42:12,1,SANTA CLARA,,0.27418453750672533,0.5331513142364588,-13540072.41669248,4487603.318402767,-121.63254,37.34712999999997,2020-04-05,17:42:12
100,1193269.0,PGE,2020-04-05 19:36:00,49,SANTA CRUZ,,0.22197520305498308,0.4937546977496976,-13596471.323507983,4439612.774516427,-122.13918,37.00362999999999,2020-04-05,19:36:00
101,1193283.0,PGE,2020-04-05 19:59:00,1,STANISLAUS,,0.36318690206396553,0.5831203310217914,-13443927.998884149,4548472.512431134,-120.76886000000005,37.78056000000001,2020-04-05,19:59:00
102,1193286.0,PGE,2020-04-05 20:09:35,0,NEVADA,,0.33301278391140343,0.7499035391376623,-13476523.458983324,4751637.595688448,-121.06167000000002,39.20888999999999,2020-04-05,20:09:35
103,1193298.0,PGE,2020-04-05 20:38:00,24,SANTA CRUZ,,0.23123632118062964,0.48862966422830434,-13586467.040870393,4433369.772754841,-122.04931,36.95882999999999,2020-04-05,20:38:00
104,1193302.0,PGE,2020-04-05 20:50:13,1,NEVADA,,0.3447079468810301,0.7607705274250662,-13463889.80997319,4764875.094865421,-120.94817999999994,39.30096999999998,2020-04-05,20:50:13
91,1193322.0,PGE,2020-04-05 21:21:41,42,PLACER,,0.388786623492404,0.7613562962487768,-13416274.010981278,4765588.642549166,-120.52044,39.30592999999998,2020-04-05,21:21:41
90,1193321.0,PGE,2020-04-05 21:18:35,1,FRESNO,,0.4645027305672844,0.4608958194824684,-13334482.015120924,4399586.10268106,-119.78569000000002,36.71594,2020-04-05,21:18:35
89,1193320.0,PGE,2020-04-05 21:07:15,1,FRESNO,,0.46191101897431786,0.4621510692033204,-13337281.70031437,4401115.170966331,-119.81083999999997,36.72695,2020-04-05,21:07:15
88,1193319.0,PGE,2020-04-05 21:10:28,1,CALAVERAS,,0.38010567778299453,0.5978357492687008,-13425651.564885706,4566397.933143886,-120.60468000000002,37.90772,2020-04-05,21:10:28
87,1193316.0,PGE,2020-04-05 21:09:11,1,PLACER,,0.38474087410314084,0.7623862162890416,-13420644.414189825,4766843.228026281,-120.55969999999999,39.31465,2020-04-05,21:09:11
86,1193315.0,PGE,2020-04-05 21:13:37,1,EL DORADO,,0.3302695885792062,0.6938020275518464,-13479486.78382824,4683298.172307919,-121.08828999999999,38.7316,2020-04-05,21:13:37
85,1193314.0,PGE,2020-04-05 21:08:00,67,ALAMEDA,,0.23819117666410783,0.5682305219714343,-13578954.088436753,4530334.659528702,-121.98181999999998,37.65166999999998,2020-04-05,21:08:00
84,1193312.0,SCE,2020-04-05 20:26:39,9,ORANGE,,0.6725398323354828,0.10546968695880343,-13109750.83936466,3966627.7693947223,-117.7668955,33.5357060000036,2020-04-05,20:26:39
83,1193310.0,PGE,2020-04-05 21:00:48,1,HUMBOLDT,,0.03140762860058821,0.950094948657807,-13802331.11824726,4995498.502562856,-123.98844999999997,40.885709999999975,2020-04-05,21:00:48
82,1193309.0,PGE,2020-04-05 21:06:07,1,TEHAMA,,0.27710085711233035,0.8847208785747056,-13536922.075103031,4915863.816665248,-121.60424000000002,40.342670000000005,2020-04-05,21:06:07
81,1193308.0,PGE,2020-04-05 21:04:55,1,FRESNO,,0.5316430030987558,0.4601753577712593,-13261954.02728438,4398708.480376063,-119.13415999999998,36.70962000000001,2020-04-05,21:04:55
80,1193307.0,PGE,2020-04-05 21:02:20,17,CALAVERAS,,0.3867895113384563,0.6166430858323939,-13418431.382712854,4589307.877987713,-120.53982,38.06992000000001,2020-04-05,21:02:20
78,1193305.0,PGE,2020-04-05 20:47:32,1,CONTRA COSTA,,0.2633292333634554,0.60448777381874,-13551798.811852643,4574501.021798947,-121.73788,37.96513000000001,2020-04-05,20:47:32
77,1193304.0,PGE,2020-04-05 20:50:00,1,FRESNO,,0.4993831496522887,0.45400939783624805,-13296802.593877215,4391197.48584784,-119.44720999999998,36.655509999999985,2020-04-05,20:50:00
76,1193303.0,PGE,2020-04-05 20:47:00,29,FRESNO,,0.5007526863151313,0.4539228249504039,-13295323.157844573,4391092.028063696,-119.43392,36.65475000000001,2020-04-05,20:47:00
75,1193301.0,PGE,2020-04-05 20:38:28,67,CALAVERAS,,0.37476664885131505,0.6081653609514284,-13431419.027703706,4578980.833072751,-120.65649000000002,37.99684999999998,2020-04-05,20:38:28
74,1193300.0,PGE,2020-04-05 20:52:14,1,NAPA,,0.1846360070869526,0.669796641669719,-13636806.827802014,4654056.282333131,-122.50151999999994,38.526389999999985,2020-04-05,20:52:14
